title,articletime,agency
"DGB대구은행, 가정의 달 대면행사 재개",2022-04-28,시장경제신문 | 메콘뉴스
"DGB대구은행, 친환경 재사용 종량제 봉투 나눔 캠페인",2022-04-28,시장경제신문 | 메콘뉴스
국내 최고 자본시장(Capital Markets) 미디어,2022-04-28,더벨(thebell)
"DGB대구은행 편의점에 점포 낸다, 임성훈 점포 효율화 공백 메우기",2022-04-23,비즈니스포스트
"DGB대구은행, 삼성라이온즈·대구FC 특판 예·적금 출시",2022-04-20,뉴시스
"DGB대구은행-코리아세븐, 금융채널 혁신",2022-04-11,경북매일신문
"DGB대구은행, 시즌 개막 삼성라이온즈·대구FC 특판 예적금 출시",2022-04-20,아주경제
"DGB대구은행, 코리아세븐과 금융채널 혁신·리테일 신사업 추진",2022-04-11,뉴시스
"하이투자파트너스, DGB대구은행 제2본점으로 본점 이전",2022-04-21,뉴시스
"DGB대구은행, 남구 지역민 '소망 도시락' 전달",2022-04-19,아이뉴스24
DGB대구은행 '외화 E-지갑' 서비스 출시,2022-04-18,뉴시스
"DGB대구은행, 경북 소기업·소상공인 금융지원",2022-04-04,경북매일신문
"DGB대구은행, MZ세대 파킹통장 '비상금 박스' 출시",2022-04-13,이코노믹리뷰
"DGB대구은행, 얼굴인증 실시 1주년 ... 생체기반 인증서비스 순항",2022-04-06,디지털데일리
"세븐일레븐, DGB대구은행과 '편의점 속 은행' 추진",2022-04-11,뉴시스
"DGB대구은행, 러시아 경제제재 피해기업에 1000억원 대출 지원",2022-04-08,쿠키뉴스
"DGB대구은행, 파킹통장 '비상금 박스' 출시…게임하듯 재테크",2022-04-13,뉴시스
"DGB대구은행, ICT·디지털 6급경력직 채용 ""능력만 본다""",2022-04-15,뉴시스
"DGB대구은행 금융노조, 양준혁 멘토리야구단 후원금 전달",2022-04-19,시장경제신문 | 메콘뉴스
"DGB대구은행, 러시아 경제제재 피해기업 1000억원 금융지원",2022-04-08,뉴시스
"DGB대구은행, ‘비대면 실명확인 얼굴인증’ 실시 1주년 … 생체기반인증서비스 순항",2022-04-06,대한금융신문
'장사는 잘했는데' 2등 내준 DGB의 아쉬움,2022-04-28,비즈니스워치
"DGB대구은행, ""누구나 IM 대출받으면 누구나 이자 지원금 기회 제공한다""",2022-04-07,국제뉴스
"DGB대구은행, 기업경영개선 전문역(PCM)·경영컨설턴트 모집",2022-04-03,매일신문
"DGB 2차 공판, 외국 공무원에 뇌물 혐의 놓고 날 선 공방",2022-04-27,파이낸셜뉴스
"[2022 1Q 실적] DGB금융, 1분기 순익 1622억 전년比 31%↑…""역대 최대""",2022-04-28,위키리크스한국
"대구은행, 친환경 재사용 종량제 봉투 나눔 캠페인 '눈길'",2022-04-28,경북도민일보
"DGB생명, DGB금융지주 창립기념일 앞두고 봉사활동 진행",2022-04-28,한스경제
"BNK금융 DGB금융, 금리 인상으로 1분기 나란히 최대 순이익",2022-04-28,비즈니스포스트
"DGB금융, 순이익 1622억 '역대 분기 최대'…전년비 31.3%↑ [금융사 2022 1분기 실적]",2022-04-28,한국금융신문
"금리인상기, 최장 40년 만기 주택담보대출상품 인기끄는 이유",2022-04-28,영남일보
[보험 브리핑] BNP파리바 카디프·DGB·KDB생명,2022-04-28,메트로신문-중산층과 서민을 위한 알찬 정보
"DGB대구은행, '삼일절 예·적금' 판매",2022-02-15,경북매일신문
"'순수 국문·영문이 좋은데'…은행권, 여전히 혼용 간판 선호",2022-04-28,신아일보
[단독]‘들쑥날쑥’ 충당금 적립기준 손본다... 금감원-은행 9곳 개선 TF 발족,2022-04-28,파이낸셜뉴스
"DGB금융그룹, 1분기 당기순이익 1622억…역대 분기 최대",2022-04-28,뉴스통
"DGB대구은행-하이투자증권, 부산 두 번째 복합 점포 열어 - 조선비즈",2022-03-21,조선비즈
"DGB대구은행, 'MZ세대' 고객 비대면 상품 가입 100% 경품 증정",2022-03-03,조세금융신문
대구대청초 '금융교육 우수학교'로 금융감독원장상 수상,2022-04-28,매일신문
"DGB대구은행, 희망플러스 특례보증대출 시행",2022-01-24,이투데이
DGB대구은행 노조 “김태오 회장 퇴진하라”,2021-12-07,경북매일신문
"DGB금융, 경북도청에 산불 피해 성금 5억원 - 조선비즈",2022-04-08,조선비즈
[인사] DGB금융지주·DGB대구은행,2021-12-30,아주경제
"DGB대구은행, 뱅크몰 통해 비대면 전세자금대출 상품 출시",2022-02-28,아주경제
[인사] DGB대구은행 < 인사/부음 < 국내뉴스 < 종합 < 기사본문,2022-01-27,이코노믹리뷰
DGB대구은행 '호랑이해' 기념 'IM뱅크 어~흥(興) 페스티벌',2022-01-03,매일신문
"DGB대구은행, '얼굴인증'으로 IM뱅크 로그인에 계좌이체까지",2021-10-13,한국일보
[단독] '쇄신보다 안정' DGB대구은행·금융지주 임원 소폭 인사,2021-12-29,매일신문
"DGB대구은행, 주한 캄보디아 대사관 코로나19 검사 키트 전달",2022-03-24,NSP통신
"DGB대구은행, 도청신도시지점 개점",2022-03-02,조세금융신문
"DGB대구은행, 담비서 무방문 전세자금 대출 판매",2022-03-19,아주경제
"DGB대구은행, 새 신탁상품 출시",2022-03-22,경북매일신문
"DGB대구은행, 마이데이터기반 개인자산관리 서비스 실시 외 [금융소식]",2021-12-02,쿠키뉴스
"DGB대구은행, 3월 전직원 계단 챌린지…ESG 실천 일환",2022-03-05,아주경제
서울 한복판에 대구은행 광고가 하루종일…무슨 일이지?,2021-12-29,매일경제
"DGB대구은행, '2022 설날 특별자금대출' 5천억원 지원",2022-01-14,조세금융신문
"DGB금융, 모든 것이 좋았다…DGB생명 빼고",2022-02-10,비즈니스워치
DGB대구은행 '디지털 혁신'으로 영업망 전국화 한다,2021-11-29,매일신문
"DGB대구은행, 제작PD·아나운서 경력직 모집 외 [금융소식]",2022-02-28,쿠키뉴스
은행업무에서 활어회·세탁까지…'만능'으로 진화 중인 편의점,2022-04-27,뉴스케이프
"DGB대구은행, 제한없이 할인혜택 'DGB Z 체크카드' 선봬",2022-03-17,데일리한국
"DGB대구은행, 제9기 'DGB 참소리 자문단' 고객 패널단 발대식 개최",2022-03-23,매일신문
"DGB대구은행, 창립 54주년 기념 'ESG실천의 날' 진행",2021-10-05,이코노믹리뷰
"DGB대구은행, 2021 장기 미거래 신탁 계좌 찾아주기 캠페인",2021-11-30,이코노믹리뷰
"DGB대구은행, 시즌 2 '금융소비자보호 고객 제안왕' 실시",2022-03-21,서울경제TV
"DGB대구은행, 전세대출 금리 인하ㆍ취급제한 해제",2022-03-28,이투데이
"DGB대구은행, 울진 산불 피해고객 지원 실시",2022-03-12,아주경제
"DGB대구은행, 12개 증권사 계좌 동시 개설 서비스 실시",2021-08-11,NSP통신
“믿을 수 있나요?” 잇따른 비위로 대구은행 신뢰도 흔들,2021-08-12,게임동아
"임성훈 DGB대구은행장, 메타버스 게더타운서 신입행원과 소통",2021-12-27,아주경제
"DGB대구은행 지역 배달앱 대구로 결제할인 이벤트, 연말까지 연장",2021-11-09,아주경제
"DGB대구은행, 자동차 구매 캐시백 '더!더! 플러스' 이벤트",2022-02-13,매일신문
"DGB대구은행, 지역 취약계층에 설맞이 온누리상품권 전달",2022-01-27,전자신문
"DGB대구은행, 대한적십자사 특별회비 7000만원 전달",2022-02-11,뉴시스
[인사] DGB대구은행,2021-07-27,한국금융신문
"DGB대구은행, 주한 미얀마 대사관에 마스크 2만 장 전달",2022-03-17,이투데이
"BNK금융그룹·DGB대구은행·광주은행, 금융캘린더로 카드대금 결제일·청약 정보 한눈에",2022-01-24,매일경제
"DGB대구은행, 2022년 제13기 대학생 홍보대사 모집",2022-01-04,대한금융신문
"DGB대구은행, 수도권 기업영업 전문인력 공개 채용",2022-03-16,데일리한국
[e 공시 눈에 띄네] 코스피-28일,2022-04-28,아시아경제
"DGB대구은행, ""IM샵 어플 통해 다양한 서비스 제공한다""",2021-10-05,국제뉴스
[같이경제] 데이터 산업 현황은?,2022-04-28,KBS뉴스
"DGB대구은행, 6급 신입행원 공채…메타버스 채용박람회 연다",2021-09-06,아주경제
"DGB대구은행-계명대, 창업지원 활성화 업무협약 체결",2022-02-07,NSP통신
"DGB대구은행, 특판 '안녕, 독도야 예ㆍ적금' 출시",2021-10-04,경상매일신문
"DGB대구은행, 2022 대구FC 홈개막전 경품 이벤트",2022-02-21,매일신문
"DGB대구은행, 해외 송금·환전 이벤트 실시 외 [금융소식]",2022-02-14,쿠키뉴스
"DGB대구은행, ‘한 시간 소등’ 2022 어스아워 동참 이벤트",2022-03-25,대한금융신문
이상근 DGB대구은행 CISO “여러 업무 부서와 상호 이해하며 디지털 금융 혁신 나서야”,2021-10-08,데이터넷
"은행들, 중국 코로나 재확산 리스크 노출",2022-04-27,뉴스토마토
"DGB대구은행·계명대, 창업기업 발굴·역량강화에 맞손",2022-02-07,뉴시스
"DGB대구은행, 2022 '함께하는 위험제로 안전풀 프로젝트' 후원",2022-03-08,매일신문
"[은행주가 뜬다⑧] DGB금융, 비은행 부문 성장 탄력…배당 증가 기대감↑",2021-09-22,이코노믹리뷰
"DGB금융, 가상 부동산 `어스2`에서 DGB대구은행 제2본점 건물 구매",2022-01-21,영남일보
"DGB대구은행ㆍ하이투자증권, 복합점포 'DIGNITY 여의도센터' 오픈",2021-12-15,경상매일신문
"DGB대구은행, '먹튜브랑 하는 숨맛꼭질 공모전' 시상식",2021-12-17,시장경제신문 | 메콘뉴스
"DGB대구은행, 청년·신혼부부 전세자금 대출이자 지원나서",2021-12-23,이코노믹리뷰
"DGB대구은행·대구시·경상북도, 지역 소상공인활성화 지원 협약",2021-12-09,서울경제TV
"DGB대구은행, 모바일 앱 개발·기술평가 전문역·변호사 모집",2022-02-03,이투데이
"DGB대구은행, 사외보 100호 발간",2021-12-20,오마이뉴스
